fleet_size,n_waypoints,seed,vrp_makespan_lb_m,vrp_total_cost_lb_m,vrp_objective_lb_m,mapf_makespan_time_lb_s,mapf_total_time_lb_s,mapf_objective_time_lb_s,vrp_objective_best_bound_m
1,10,42,121.50715351104736,121.50715351104736,121.50715351104736,80.75357675552368,80.75357675552368,80.75357675552368,0.0
1,10,123,114.10692501068115,114.10692501068115,114.10692501068115,77.05346250534058,77.05346250534058,77.05346250534058,0.0
1,10,7,139.71014022827148,139.71014022827148,139.71014022827148,89.85507011413574,89.85507011413574,89.85507011413574,0.0
1,10,2024,105.19291591644287,105.19291591644287,105.19291591644287,72.59645795822144,72.59645795822144,72.59645795822144,0.0
1,10,314,94.8894395828247,94.8894395828247,94.8894395828247,67.44471979141235,67.44471979141235,67.44471979141235,0.0
1,25,42,165.83976030349731,165.83976030349731,165.83976030349731,132.91988015174866,132.91988015174866,132.91988015174866,0.0
1,25,123,188.6831202507019,188.6831202507019,188.6831202507019,144.34156012535095,144.34156012535095,144.34156012535095,0.0
1,25,7,139.4934964776039,139.4934964776039,139.4934964776039,119.74674823880196,119.74674823880196,119.74674823880196,0.0
1,25,2024,177.58465313911438,177.58465313911438,177.58465313911438,138.7923265695572,138.7923265695572,138.7923265695572,0.0
1,25,314,167.1471118927002,167.1471118927002,167.1471118927002,133.5735559463501,133.5735559463501,133.5735559463501,0.0
1,50,42,232.56334900856018,232.56334900856018,232.56334900856018,216.2816745042801,216.2816745042801,216.2816745042801,0.0
1,50,123,265.0269935429096,265.0269935429096,265.0269935429096,232.5134967714548,232.5134967714548,232.5134967714548,0.0
1,50,7,262.6117772459984,262.6117772459984,262.6117772459984,231.3058886229992,231.3058886229992,231.3058886229992,0.0
1,50,2024,225.5098216533661,225.5098216533661,225.5098216533661,212.75491082668304,212.75491082668304,212.75491082668304,0.0
1,50,314,272.823805809021,272.823805809021,272.823805809021,236.4119029045105,236.4119029045105,236.4119029045105,0.0
1,75,42,325.20746552944183,325.20746552944183,325.20746552944183,312.6037327647209,312.6037327647209,312.6037327647209,0.0
1,75,123,350.61774814128876,350.61774814128876,350.61774814128876,325.3088740706444,325.3088740706444,325.3088740706444,0.0
1,75,7,328.0849276781082,328.0849276781082,328.0849276781082,314.0424638390541,314.0424638390541,314.0424638390541,0.0
1,75,2024,301.64688444137573,301.64688444137573,301.64688444137573,300.82344222068787,300.82344222068787,300.82344222068787,0.0
1,75,314,326.35127305984497,326.35127305984497,326.35127305984497,313.1756365299225,313.1756365299225,313.1756365299225,0.0
1,100,42,381.26304268836975,381.26304268836975,381.26304268836975,390.6315213441849,390.6315213441849,390.6315213441849,0.0
1,100,123,378.8095636367798,378.8095636367798,378.8095636367798,389.4047818183899,389.4047818183899,389.4047818183899,0.0
1,100,7,374.6193087697029,374.6193087697029,374.6193087697029,387.30965438485146,387.30965438485146,387.30965438485146,0.0
1,100,2024,374.4796950817108,374.4796950817108,374.4796950817108,387.2398475408554,387.2398475408554,387.2398475408554,0.0
1,100,314,376.5928797721863,376.5928797721863,376.5928797721863,388.29643988609314,388.29643988609314,388.29643988609314,0.0
2,10,42,64.05138397216797,121.50715351104736,92.77926874160767,40.37678837776184,80.75357675552368,60.56518256664276,0.0
2,10,123,66.82208251953125,114.10692501068115,90.4645037651062,38.52673125267029,77.05346250534058,57.79009687900543,0.0
2,10,7,69.85507011413574,139.71014022827148,104.78260517120361,44.92753505706787,89.85507011413574,67.3913025856018,0.0
2,10,2024,55.530696868896484,104.60916566848755,80.06993126869202,36.15229141712189,72.30458283424377,54.22843712568283,0.0
2,10,314,57.03396987915039,94.8894395828247,75.96170473098755,33.72235989570618,67.44471979141235,50.583539843559265,0.0
2,25,42,82.91988015174866,165.83976030349731,124.37982022762299,66.45994007587433,132.91988015174866,99.6899101138115,0.0
2,25,123,94.34156012535095,188.6831202507019,141.51234018802643,72.17078006267548,144.34156012535095,108.25617009401321,0.0
2,25,7,69.74674823880196,139.4934964776039,104.62012235820293,59.87337411940098,119.74674823880196,89.81006117910147,0.0
2,25,2024,88.79232656955719,177.58465313911438,133.18848985433578,69.3961632847786,138.7923265695572,104.09424492716789,0.0
2,25,314,82.77355670928955,165.5471134185791,124.16033506393433,66.38677835464478,132.77355670928955,99.58016753196716,0.0
2,50,42,116.28167450428009,232.56334900856018,174.42251175642014,108.14083725214005,216.2816745042801,162.21125587821007,0.0
2,50,123,132.5134967714548,265.0269935429096,198.77024515718222,116.2567483857274,232.5134967714548,174.3851225785911,0.0
2,50,7,130.97451874613762,261.94903749227524,196.46177811920643,115.48725937306881,230.97451874613762,173.23088905960321,0.0
2,50,2024,112.53009021282196,225.06018042564392,168.79513531923294,106.26504510641098,212.53009021282196,159.39756765961647,0.0
2,50,314,136.70472288131714,273.4094457626343,205.0570843219757,118.35236144065857,236.70472288131714,177.52854216098785,0.0
2,75,42,162.60373276472092,325.20746552944183,243.90559914708138,156.30186638236046,312.6037327647209,234.4527995735407,0.0
2,75,123,175.30887407064438,350.61774814128876,262.96331110596657,162.6544370353222,325.3088740706444,243.98165555298328,0.0
2,75,7,164.0424638390541,328.0849276781082,246.06369575858116,157.02123191952705,314.0424638390541,235.53184787929058,0.0
2,75,2024,150.82344222068787,301.64688444137573,226.2351633310318,150.41172111034393,300.82344222068787,225.6175816655159,0.0
2,75,314,163.45847916603088,326.91695833206177,245.18771874904633,156.72923958301544,313.4584791660309,235.09385937452316,0.0
2,100,42,190.06583607196808,380.13167214393616,285.0987541079521,195.03291803598404,390.0658360719681,292.54937705397606,0.0
2,100,123,189.4047818183899,378.8095636367798,284.10717272758484,194.70239090919495,389.4047818183899,292.0535863637924,0.0
2,100,7,187.30965438485146,374.6193087697029,280.9644815772772,193.65482719242573,387.30965438485146,290.4822407886386,0.0
2,100,2024,187.2398475408554,374.4796950817108,280.8597713112831,193.6199237704277,387.2398475408554,290.42988565564156,0.0
2,100,314,188.29643988609314,376.5928797721863,282.4446598291397,194.14821994304657,388.29643988609314,291.22232991456985,0.0
3,10,42,63.66997528076172,121.50715351104736,92.58856439590454,33.83498764038086,80.75357675552368,57.29428219795227,0.0
3,10,123,66.32503509521484,114.10692501068115,90.215980052948,35.16251754760742,77.05346250534058,56.107990026474,0.0
3,10,7,61.71348190307617,139.71014022827148,100.71181106567383,32.856740951538086,89.85507011413574,61.355905532836914,0.0
3,10,2024,55.03364562988281,103.40916681289673,79.22140622138977,29.516822814941406,71.70458340644836,50.610703110694885,0.0
3,10,314,56.53691864013672,94.8894395828247,75.71317911148071,30.26845932006836,67.44471979141235,48.856589555740356,0.0
3,25,42,63.4356575012207,165.83976030349731,114.63770890235901,44.30662671724955,132.91988015174866,88.6132534344991,0.0
3,25,123,66.5593490600586,188.6831202507019,127.62123465538025,48.11385337511698,144.34156012535095,96.22770675023396,0.0
3,25,7,62.853031158447266,139.4934964776039,101.17326381802559,39.91558274626732,119.74674823880196,79.83116549253464,0.0
3,25,2024,66.64412689208984,177.58465313911438,122.11439001560211,46.264108856519066,138.7923265695572,92.52821771303813,0.0
3,25,314,63.048805236816406,165.16570854187012,114.10725688934326,44.194284756978355,132.58285427093506,88.38856951395671,0.0
3,50,42,77.52111633618672,232.56334900856018,155.04223267237344,72.0938915014267,216.2816745042801,144.1877830028534,0.0
3,50,123,88.20572099089622,264.6171629726887,176.41144198179245,77.43619382878144,232.30858148634434,154.87238765756288,0.0
3,50,7,86.8896425863107,260.6689277589321,173.7792851726214,76.77815462648869,230.33446387946606,153.55630925297737,0.0
3,50,2024,74.89292534192403,224.6787760257721,149.78585068384805,70.77979600429535,212.33938801288605,141.5595920085907,0.0
3,50,314,90.70075543721516,272.1022663116455,181.40151087443033,78.68371105194092,236.05113315582275,157.36742210388184,0.0
3,75,42,108.40248850981395,325.20746552944183,216.8049770196279,104.20124425490697,312.6037327647209,208.40248850981394,0.0
3,75,123,116.83020440737407,350.4906132221222,233.66040881474814,108.41510220368703,325.2453066110611,216.83020440737405,0.0
3,75,7,109.3616425593694,328.0849276781082,218.7232851187388,104.68082127968471,314.0424638390541,209.36164255936941,0.0
3,75,2024,100.54896148045857,301.64688444137573,201.09792296091715,100.2744807402293,300.82344222068787,200.5489614804586,0.0
3,75,314,108.97231944402058,326.91695833206177,217.94463888804117,104.4861597220103,313.4584791660309,208.9723194440206,0.0
3,100,42,126.95434753100078,380.8630425930023,253.90869506200156,130.14384043216705,390.43152129650116,260.2876808643341,0.0
3,100,123,126.2274762392044,378.6824287176132,252.4549524784088,129.78040478626886,389.3412143588066,259.5608095725377,0.0
3,100,7,124.8731029232343,374.6193087697029,249.7462058464686,129.10321812828383,387.30965438485146,258.20643625656766,0.0
3,100,2024,124.82656502723694,374.4796950817108,249.65313005447388,129.07994918028513,387.2398475408554,258.15989836057025,0.0
3,100,314,125.53095992406209,376.5928797721863,251.06191984812418,129.43214662869772,388.29643988609314,258.86429325739545,0.0
4,10,42,63.66997528076172,121.50715351104736,92.58856439590454,33.83498764038086,80.75357675552368,57.29428219795227,0.0
4,10,123,66.32503509521484,114.10692501068115,90.215980052948,35.16251754760742,77.05346250534058,56.107990026474,0.0
4,10,7,61.71348190307617,139.71014022827148,100.71181106567383,32.856740951538086,89.85507011413574,61.355905532836914,0.0
4,10,2024,55.03364562988281,103.40916681289673,79.22140622138977,29.516822814941406,71.70458340644836,50.610703110694885,0.0
4,10,314,56.53691864013672,95.22081089019775,75.87886476516724,30.26845932006836,67.61040544509888,48.93943238258362,0.0
4,25,42,63.4356575012207,165.83976030349731,114.63770890235901,33.71782875061035,132.91988015174866,83.3188544511795,0.0
4,25,123,66.5593490600586,188.6831202507019,127.62123465538025,36.08539003133774,144.34156012535095,90.21347507834435,0.0
4,25,7,62.853031158447266,139.4934964776039,101.17326381802559,33.42651557922363,119.74674823880196,76.5866319090128,0.0
4,25,2024,66.64412689208984,177.58465313911438,122.11439001560211,35.32206344604492,138.7923265695572,87.05719500780106,0.0
4,25,314,63.048805236816406,165.16570854187012,114.10725688934326,33.5244026184082,132.58285427093506,83.05362844467163,0.0
4,50,42,63.39710998535156,232.56334900856018,147.98022949695587,54.07041862607002,216.2816745042801,135.17604656517506,0.0
4,50,123,66.28648376464844,264.6171629726887,165.45182336866856,58.077145371586084,232.30858148634434,145.1928634289652,0.0
4,50,7,66.24246978759766,260.6689277589321,163.45569877326488,57.583615969866514,230.33446387946606,143.95903992466629,0.0
4,50,2024,67.20980834960938,224.6787760257721,145.94429218769073,53.08484700322151,212.33938801288605,132.71211750805378,0.0
4,50,314,67.952361702919,271.809446811676,169.88090425729752,58.9761808514595,235.904723405838,147.44045212864876,0.0
4,75,42,81.21902364492416,324.87609457969666,203.0475591123104,78.10951182246208,312.4380472898483,195.2737795561552,0.0
4,75,123,87.62265330553055,350.4906132221222,219.05663326382637,81.31132665276527,325.2453066110611,203.27831663191319,0.0
4,75,7,82.02123191952705,328.0849276781082,205.05307979881763,78.51061595976353,314.0424638390541,196.27653989940882,0.0
4,75,2024,75.41172111034393,301.64688444137573,188.52930277585983,75.20586055517197,300.82344222068787,188.01465138792992,0.0
4,75,314,81.72923958301544,326.91695833206177,204.3230989575386,78.36461979150772,313.4584791660309,195.9115494787693,0.0
4,100,42,94.90578311681747,379.6231324672699,237.2644577920437,97.45289155840874,389.81156623363495,243.63222889602184,0.0
4,100,123,94.6706071794033,378.6824287176132,236.67651794850826,97.33530358970165,389.3412143588066,243.33825897425413,0.0
4,100,7,93.65482719242573,374.6193087697029,234.13706798106432,96.82741359621286,387.30965438485146,242.06853399053216,0.0
4,100,2024,93.6199237704277,374.4796950817108,234.04980942606926,96.80996188521385,387.2398475408554,242.02490471303463,0.0
4,100,314,94.14821994304657,376.5928797721863,235.37054985761642,97.07410997152328,388.29643988609314,242.6852749288082,0.0
5,10,42,62.469970703125,121.50715351104736,91.98856210708618,33.2349853515625,80.75357675552368,56.99428105354309,0.0
5,10,123,64.72503662109375,114.09884691238403,89.41194176673889,34.362518310546875,77.04942345619202,55.705970883369446,0.0
5,10,7,60.11347579956055,139.71014022827148,99.91180801391602,32.05673789978027,89.85507011413574,60.95590400695801,0.0
5,10,2024,53.43363952636719,102.98921155929565,78.21142554283142,28.716819763183594,71.49460577964783,50.10571277141571,0.0
5,10,314,55.3369140625,94.8894395828247,75.11317682266235,29.66845703125,67.44471979141235,48.55658841133118,0.0
5,25,42,62.235652923583984,165.83976030349731,114.03770661354065,33.11782646179199,132.91988015174866,83.01885330677032,0.0
5,25,123,64.9593505859375,188.6831202507019,126.8212354183197,34.47967529296875,144.34156012535095,89.41061770915985,0.0
5,25,7,61.25302505493164,139.4934964776039,100.37326076626778,32.62651252746582,119.74674823880196,76.18663038313389,0.0
5,25,2024,65.04412841796875,177.58465313911438,121.31439077854156,34.522064208984375,138.7923265695572,86.65719538927078,0.0
5,25,314,61.44879913330078,163.56571006774902,112.5072546005249,32.72439956665039,131.7828550338745,82.25362730026245,0.0
5,50,42,62.197105407714844,232.56334900856018,147.3802272081375,43.25633490085602,216.2816745042801,129.76900470256805,0.0
5,50,123,64.68649291992188,263.437120705843,164.06180681288242,46.343712070584296,231.7185603529215,139.03113621175288,0.0
5,50,7,64.64247131347656,260.33755645155907,162.49001388251781,46.03375564515591,230.16877822577953,138.10126693546772,0.0
5,50,2024,65.60980987548828,224.01603436470032,144.8129221200943,42.40160343647003,212.00801718235016,127.20481030941009,0.0
5,50,314,61.67268371582031,271.5551772117615,166.6139304637909,47.155517721176146,235.77758860588074,141.46655316352843,0.0
5,75,42,65.04149310588836,325.20746552944183,195.1244793176651,62.52074655294418,312.6037327647209,187.56223965883254,0.0
5,75,123,70.09812264442444,350.4906132221222,210.29436793327332,65.04906132221222,325.2453066110611,195.14718396663665,0.0
5,75,7,65.61698553562164,328.0849276781082,196.85095660686494,62.80849276781082,314.0424638390541,188.42547830343247,0.0
5,75,2024,65.3169937133789,301.64688444137573,183.48193907737732,60.164688444137575,300.82344222068787,180.49406533241273,0.0
5,75,314,65.28373727798461,326.4186863899231,195.85121183395387,62.64186863899231,313.20934319496155,187.92560591697693,0.0
5,100,42,76.09632754325867,380.48163771629333,228.288982629776,78.04816377162933,390.24081885814667,234.144491314888,0.0
5,100,123,75.73648574352265,378.6824287176132,227.20945723056792,77.86824287176132,389.3412143588066,233.60472861528396,0.0
5,100,7,74.92386175394059,374.6193087697029,224.77158526182174,77.46193087697029,387.30965438485146,232.38579263091088,0.0
5,100,2024,74.89593901634217,374.4796950817108,224.68781704902648,77.44796950817108,387.2398475408554,232.34390852451324,0.0
5,100,314,75.10963935852051,375.54819679260254,225.32891807556152,77.55481967926025,387.77409839630127,232.66445903778077,0.0
6,10,42,62.469970703125,121.50715351104736,91.98856210708618,33.2349853515625,80.75357675552368,56.99428105354309,0.0
6,10,123,64.72503662109375,114.09884691238403,89.41194176673889,34.362518310546875,77.04942345619202,55.705970883369446,0.0
