run_id,fleet_size,n_waypoints,seed,status,total_cost,makespan,shortest_route,route_balance_ratio,route_cost_std,mean_route_cost,total_traj_steps,residual_collisions,fail_count_total,t_dist_matrix,t_vrp_solve,t_trajectory,t_total
1,1,10,42,success,147.8114471435547,147.8114471435547,147.8114471435547,1.0,0.0,147.8114471435547,4625,0,0,9.228694896679372,0.6412110081873834,345.11934408405796,355.0357688232325
2,1,10,123,success,152.39463806152344,152.39463806152344,152.39463806152344,1.0,0.0,152.39463806152344,5088,0,0,7.108810152392834,0.0825575808994472,296.4995746850036,303.70992550533265
3,1,10,7,success,161.3469696044922,161.3469696044922,161.3469696044922,1.0,0.0,161.3469696044922,5038,0,0,22.482012774795294,0.21737933903932571,177.27105288719758,199.98999383999035
4,1,10,2024,success,117.50567626953125,117.50567626953125,117.50567626953125,1.0,0.0,117.50567626953125,3988,0,0,35.17010165285319,0.4246460241265595,246.5552715198137,282.1718592820689
5,1,10,314,success,115.23271179199219,115.23271179199219,115.23271179199219,1.0,0.0,115.23271179199219,4088,0,0,7.293558812234551,0.15448833210393786,169.24857928836718,176.71413714298978
6,1,25,42,success,214.61767578125,214.61767578125,214.61767578125,1.0,0.0,214.61767578125,7900,0,0,79.8002081499435,2.140485302079469,273.63851460814476,355.6018420108594
7,1,25,123,success,209.31736755371094,209.31736755371094,209.31736755371094,1.0,0.0,209.31736755371094,7850,0,0,14.883332271128893,1.1443673628382385,393.74183324398473,409.78989808494225
8,1,25,7,success,216.2750244140625,216.2750244140625,216.2750244140625,1.0,0.0,216.2750244140625,8175,0,0,14.398365488275886,15.316319263074547,369.1331046936102,398.8667791201733
9,1,25,2024,error: std::bad_alloc: out_of_memory: CUDA error (failed to allocate 360261592 bytes) at: /tmp/pip-build-env-gr25wotf/normal/lib/python3.11/site-packages/librmm/include/rmm/mr/cuda_memory_resource.hpp:51: cudaErrorMemoryAllocation out of memory,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.317800662945956
10,1,25,314,error: non-success value returned from cugraph_graph_create_with_times_sg(): CUGRAPH_UNKNOWN_ERROR std::bad_alloc: out_of_memory: CUDA error (failed to allocate 360261592 bytes) at: /__w/rmm/rmm/cpp/include/rmm/mr/cuda_memory_resource.hpp:51: cudaErrorMemoryAllocation out of memory,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.2959556030109525
11,1,50,42,error: non-success value returned from cugraph_graph_create_with_times_sg(): CUGRAPH_UNKNOWN_ERROR std::bad_alloc: out_of_memory: CUDA error (failed to allocate 360261592 bytes) at: /__w/rmm/rmm/cpp/include/rmm/mr/cuda_memory_resource.hpp:51: cudaErrorMemoryAllocation out of memory,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.307898849248886
12,1,50,123,error: non-success value returned from cugraph_graph_create_with_times_sg(): CUGRAPH_UNKNOWN_ERROR std::bad_alloc: out_of_memory: CUDA error (failed to allocate 360261592 bytes) at: /__w/rmm/rmm/cpp/include/rmm/mr/cuda_memory_resource.hpp:51: cudaErrorMemoryAllocation out of memory,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.2926299339160323
13,1,50,7,error: non-success value returned from cugraph_graph_create_with_times_sg(): CUGRAPH_UNKNOWN_ERROR std::bad_alloc: out_of_memory: CUDA error (failed to allocate 360261592 bytes) at: /__w/rmm/rmm/cpp/include/rmm/mr/cuda_memory_resource.hpp:51: cudaErrorMemoryAllocation out of memory,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.3075152267701924
