run_id,fleet_size,n_waypoints,seed,status,total_cost,makespan,shortest_route,route_balance_ratio,route_cost_std,mean_route_cost,total_traj_steps,residual_collisions,fail_count_total,t_dist_matrix,t_vrp_solve,t_trajectory,t_total
1,1,10,42,success,150.68255615234375,150.68255615234375,150.68255615234375,1.0,0.0,150.68255615234375,4775,0,0,471.0944626250057,2.6970282619950012,5049.356386299005,5523.4513326410015
2,1,10,123,success,152.39463806152344,152.39463806152344,152.39463806152344,1.0,0.0,152.39463806152344,5088,0,0,200.05514990599477,0.5573512400005711,644.2984344370052,844.9707960609958
3,1,10,7,success,161.3469696044922,161.3469696044922,161.3469696044922,1.0,0.0,161.3469696044922,5038,0,0,61.54524591199879,0.35723220000363654,421.32991679300176,483.2765883960092
4,1,10,2024,success,117.50567626953125,117.50567626953125,117.50567626953125,1.0,0.0,117.50567626953125,3988,0,0,155.989584327006,0.4252273949969094,444.88898492800945,601.3652437879937
5,1,10,314,success,115.95697021484375,115.95697021484375,115.95697021484375,1.0,0.0,115.95697021484375,4088,0,0,69.774784387002,0.3186401830025716,335.02539285901,405.14603552399785
6,1,25,42,success,224.69918823242188,224.69918823242188,224.69918823242188,1.0,0.0,224.69918823242188,7900,0,0,326.15933412799495,3.6778563870029757,337.5640189320111,667.4299404940102
7,1,25,123,success,217.63763427734375,217.63763427734375,217.63763427734375,1.0,0.0,217.63763427734375,8013,0,0,137.85488000400073,2.0692730869923253,339.00505745300325,478.9549562989996
8,1,25,7,success,213.58567810058594,213.58567810058594,213.58567810058594,1.0,0.0,213.58567810058594,7900,0,0,146.7065416090045,100.44063599000219,430.149851167007,677.324814742009
9,1,25,2024,success,220.8131103515625,220.8131103515625,220.8131103515625,1.0,0.0,220.8131103515625,7900,0,0,144.11494844499975,2.198181181011023,490.3121604369953,636.6481517140055
10,1,25,314,success,216.84869384765625,216.84869384765625,216.84869384765625,1.0,0.0,216.84869384765625,7900,0,0,322.4223430340062,1.567518209994887,513.2373744069919,837.2537194469915
11,1,50,42,success,308.9587707519531,308.9587707519531,308.9587707519531,1.0,0.0,308.9587707519531,12475,0,0,776.7375315349927,120.46969562101003,948.6814726309967,1845.9151512829994
12,1,50,123,success,314.58258056640625,314.58258056640625,314.58258056640625,1.0,0.0,314.58258056640625,12825,0,0,616.7399345120066,44.70955028300523,1192.8111069689912,1854.2835343759943
13,1,50,7,success,326.4626159667969,326.4626159667969,326.4626159667969,1.0,0.0,326.4626159667969,12975,0,0,157.50856486200064,120.36853153599077,469.02335161098745,746.9211231980007
14,1,50,2024,success,307.9921875,307.9921875,307.9921875,1.0,0.0,307.9921875,12688,0,0,173.2632327110041,120.34790390598937,452.23985613499826,745.8861888660031
15,1,50,314,success,313.426025390625,313.426025390625,313.426025390625,1.0,0.0,313.426025390625,12688,0,0,270.89151367500017,46.606433046996244,373.50163949599664,691.0248828729964
16,1,75,42,success,386.9670104980469,386.9670104980469,386.9670104980469,1.0,0.0,386.9670104980469,17013,0,0,294.5606121120072,94.6970467229985,518.6025263449992,907.8813276009896
17,1,75,123,success,432.18408203125,432.18408203125,432.18408203125,1.0,0.0,432.18408203125,18125,0,0,171.53979351399175,120.35955333600577,379.97839727399696,671.9006764649966
18,1,75,7,success,419.9486999511719,419.9486999511719,419.9486999511719,1.0,0.0,419.9486999511719,17675,0,0,42.54820645300788,120.33900172599533,329.20898739100085,492.1167617500032
19,1,75,2024,success,408.62518310546875,408.62518310546875,408.62518310546875,1.0,0.0,408.62518310546875,17563,0,0,43.07573878701078,120.35116981000465,321.17438525598845,484.6218960410042
20,1,75,314,success,413.35772705078125,413.35772705078125,413.35772705078125,1.0,0.0,413.35772705078125,17513,0,0,42.557026752998354,120.32639360999747,325.31030062100035,488.214321662992
21,1,100,42,success,513.616455078125,513.616455078125,513.616455078125,1.0,0.0,513.616455078125,22800,0,0,55.957408992995624,120.59760779600765,446.6214615390054,623.1970809880004
22,1,100,123,success,488.1120910644531,488.1120910644531,488.1120910644531,1.0,0.0,488.1120910644531,21963,0,0,56.19111994399282,120.73105912099709,393.052074436011,569.9938228880055
23,1,100,7,success,514.1780395507812,514.1780395507812,514.1780395507812,1.0,0.0,514.1780395507812,22675,0,0,55.852833932003705,120.62177735799924,423.91916152098565,600.4154191490088
24,1,100,2024,success,510.6363525390625,510.6363525390625,510.6363525390625,1.0,0.0,510.6363525390625,22563,0,0,56.29200735600898,120.53173408699513,419.93019366699446,596.7745277509966
25,1,100,314,success,505.88702392578125,505.88702392578125,505.88702392578125,1.0,0.0,505.88702392578125,22300,0,0,56.57237810800143,120.60116680999636,415.03438565500255,592.2285637550085
26,2,10,42,success,159.16934204101562,82.7964859008789,76.37285614013672,1.0841088062616835,3.2118148803710938,79.58467102050781,2625,0,0,9.970119520003209,0.8382671840081457,147.53909525800555,158.36866239800293
27,2,10,123,success,168.05517578125,84.86450958251953,83.19066619873047,1.020120567129376,0.8369216918945312,84.027587890625,2838,0,0,10.097471430010046,0.42735504399752244,141.7365248129936,152.2829328950029
28,2,10,7,success,175.541748046875,91.00609588623047,84.53565216064453,1.0765410044189407,3.2352218627929688,87.7708740234375,2913,0,0,10.105314657004783,0.7602162679977482,143.63077557898941,154.51683408400277
29,2,10,2024,success,141.88249969482422,73.03316497802734,68.84933471679688,1.0607679112432986,2.0919151306152344,70.94124984741211,2438,0,0,10.208597508986713,12.262179517987533,137.62658118701074,160.1179668160039
30,2,10,314,success,137.50712966918945,76.07595825195312,61.43117141723633,1.2383934165157036,7.322393417358398,68.75356483459473,2500,0,0,10.143250934997923,3.0560722069931217,117.8870897010056,131.10694654200051
31,2,25,42,success,224.278076171875,112.42788696289062,111.85018920898438,1.005164924243685,0.288848876953125,112.1390380859375,4175,0,0,17.40230324100412,74.99188198499905,177.93225285400695,270.34698346900404
32,2,25,123,success,231.9513702392578,122.0609130859375,109.89045715332031,1.1107507990037464,6.085227966308594,115.9756851196289,4238,0,0,17.50823651999235,120.13496869000664,192.31723580199468,329.9811609669996
33,2,25,7,success,237.3461151123047,119.46969604492188,117.87641906738281,1.0135165030473845,0.7966384887695312,118.67305755615234,4300,0,0,17.671094399993308,120.13426941499347,189.50635382499604,327.3322549699951
34,2,25,2024,success,236.87107849121094,119.00010681152344,117.8709716796875,1.0095794165072665,0.5645675659179688,118.43553924560547,4500,0,0,17.652967560992693,120.1400668379938,190.37936794299458,328.19294253300177
35,2,25,314,success,228.20309448242188,116.8907470703125,111.31234741210938,1.0501148326119683,2.7891998291015625,114.10154724121094,4275,0,0,17.55023697100114,120.12204723000468,193.91368511899782,331.60645351800486
36,2,50,42,success,333.8720245361328,176.4542694091797,157.41775512695312,1.120929905695035,9.518257141113281,166.9360122680664,6875,0,0,29.87013503399794,120.27197767299367,297.0786264579947,447.242326209991
37,2,50,123,success,370.1274719238281,208.72955322265625,161.39791870117188,1.2932605011413987,23.665817260742188,185.06373596191406,8163,0,0,30.337438349990407,120.32018522299768,310.51838728800067,461.19778562299325
38,2,50,7,success,418.4571838378906,210.53912353515625,207.91806030273438,1.0126062316501296,1.3105316162109375,209.2285919189453,7838,0,0,30.127049185000942,120.28845710100722,359.7935942070035,510.2309013549966
39,2,50,2024,success,388.33790588378906,197.70872497558594,190.62918090820312,1.0371377772996462,3.5397720336914062,194.16895294189453,7250,0,0,30.266033271997003,120.27555900499283,326.53237082099076,477.0950315109949
40,2,50,314,success,372.0796356201172,213.8153533935547,158.2642822265625,1.35100194677829,27.775535583496094,186.0398178100586,7875,0,0,30.193050125002628,120.31956078700023,340.3444278750103,490.87859580200166
41,2,75,42,success,494.0517883300781,262.41241455078125,231.63937377929688,1.1328489205846521,15.386520385742188,247.02589416503906,10250,0,0,43.00092297801166,120.59408237399475,443.19943330899696,606.8160736579885
42,2,75,123,success,459.8854217529297,249.32839965820312,210.55702209472656,1.18413718610645,19.38568878173828,229.94271087646484,10150,0,0,42.9748831980105,120.5634814889927,386.3358005379996,549.8957376610051
43,2,75,7,success,445.41026306152344,223.2977294921875,222.11253356933594,1.0053360155044182,0.5925979614257812,222.70513153076172,9238,0,0,42.93729878999875,120.79022755700862,383.12743858699105,546.8764909080055
44,2,75,2024,success,485.70770263671875,256.3713684082031,229.33633422851562,1.1178837809134474,13.51751708984375,242.85385131835938,9925,0,0,43.11773248499958,120.6202909279964,469.4770973830018,633.2366379199957
45,2,75,314,success,517.9879455566406,266.11376953125,251.87417602539062,1.056534551221416,7.1197967529296875,258.9939727783203,10750,0,0,43.04477577700163,120.56788266000513,436.9888076269999,600.623062781
46,2,100,42,success,582.1314086914062,295.6746826171875,286.45672607421875,1.0321792288465255,4.608978271484375,291.0657043457031,12500,88,0,56.50980639900081,121.10113401499984,543.4525321319961,721.0869948309992
47,2,100,123,success,538.0667724609375,274.20654296875,263.8602294921875,1.0392113411576822,5.17315673828125,269.03338623046875,12025,42,0,56.43590918900736,122.28734869399341,483.3391451219941,662.084253537003
