fleet_size,n_waypoints,seed,n_pairs,n_pairs_in_collision,n_collision_events,has_collision
2,60,1,1,0,0,False
2,60,2,1,0,0,False
2,60,3,1,0,0,False
3,60,1,3,0,0,False
3,60,2,3,0,0,False
3,60,3,3,1,1,True
4,60,1,6,0,0,False
4,60,2,6,0,0,False
4,60,3,6,1,1,True
5,60,1,10,1,1,True
5,60,2,10,2,3,True
5,60,3,10,1,3,True
6,60,1,15,1,3,True
6,60,2,15,4,7,True
6,60,3,15,1,1,True
8,60,1,28,4,8,True
8,60,2,28,1,8,True
8,60,3,28,2,3,True
10,60,1,45,4,30,True
10,60,2,45,4,10,True
10,60,3,45,2,3,True
