rank,gamma_method,epsilon_scale,delta_k,delta_agg,back_face_threshold,mean_f1,mean_precision,mean_recall,mean_f2,std_f1,min_f1
1,p30,1.1,7,max,-1e-06,0.9254541393,0.8988733028,0.9556669735,0.9431267292,0.0587632244,0.0026493760
2,p25,1.1,7,max,-1e-06,0.9254386541,0.8992775152,0.9552031208,0.9428479260,0.0588108770,0.0023731416
3,p25,1.05,7,max,-1e-06,0.9253661689,0.8978124422,0.9567131677,0.9436945531,0.0586984952,0.0025098477
4,p40,1.1,7,max,-1e-06,0.9252997825,0.8979072941,0.9564238755,0.9434980468,0.0586996302,0.0030574665
5,p30,1.05,7,max,-1e-06,0.9252750480,0.8972186013,0.9571800406,0.9439263606,0.0586570607,0.0023001324
6,p25,1.0,7,max,-1e-06,0.9252005174,0.8960278723,0.9583607875,0.9445795463,0.0586385001,0.0020201317
7,p40,1.05,7,max,-1e-06,0.9250936941,0.8961413585,0.9579895037,0.9443183737,0.0587427983,0.0027068295
8,median,1.1,7,max,-1e-06,0.9250538558,0.8968213521,0.9571262294,0.9437990666,0.0588810761,0.0033899478
9,p30,1.0,7,max,-1e-06,0.9249890070,0.8954660195,0.9586118991,0.9446338157,0.0586895946,0.0025066147
10,mean,1.1,7,max,-1e-06,0.9249370887,0.8966791636,0.9571052819,0.9437307902,0.0590344475,0.0036671856
11,p25,0.95,7,max,-1e-06,0.9248790462,0.8941740028,0.9598883264,0.9453249461,0.0586804783,0.0023676880
12,median,1.05,7,max,-1e-06,0.9248066937,0.8951447493,0.9585476620,0.9445138904,0.0588391029,0.0028356041
13,p60,1.1,7,max,-1e-06,0.9247652827,0.8957023563,0.9578854340,0.9441011417,0.0592156810,0.0043304922
14,p40,1.0,7,max,-1e-06,0.9247271626,0.8942660238,0.9594357213,0.9449969340,0.0587449805,0.0034608064
15,mean,1.05,7,max,-1e-06,0.9246072181,0.8949148920,0.9584785427,0.9443817961,0.0591953731,0.0034585322
16,p30,0.95,7,max,-1e-06,0.9246009307,0.8933949355,0.9602266743,0.9454015949,0.0587470841,0.0033321763
17,p60,1.05,7,max,-1e-06,0.9244345097,0.8939436708,0.9592564050,0.9447473836,0.0593726496,0.0043122626
18,median,1.0,7,max,-1e-06,0.9243562507,0.8931547319,0.9599522782,0.9451299109,0.0590264167,0.0037818882
19,p40,0.95,7,max,-1e-06,0.9243051657,0.8922680887,0.9608989253,0.9456569993,0.0589612049,0.0031111726
20,p25,0.9,7,max,-1e-06,0.9242531573,0.8918189490,0.9613491199,0.9458978236,0.0588019767,0.0029160592
